Elapsed,Date,Time,Pitch,Roll,Heading,Latitude,Longitude,Altitude,Next WP,Velocity,RTK Status,Latitude RTK,Longitude RTK,Altitude RTK,ALT:Altitude,ALT:ID,GAS:Methane,GAS:Status
1.76358E+12,11/19/2025,42:43.7,0.45,-0.8,102.34,40.46034976,-109.5652638,39.11,,2.59,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:43.8,0.53,-0.88,102.35,40.46034978,-109.5652637,39.33,,2.17,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,30,0
1.76358E+12,11/19/2025,42:43.9,0.71,-1.1,102.35,40.46034971,-109.5652636,39.56,,1.65,OFF,,,,0.1,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:44.0,0.84,-1.19,102.41,40.46034974,-109.5652636,39.67,,1.23,OFF,,,,0.1,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:44.1,1.12,-1.28,102.42,40.46034981,-109.5652636,39.76,,0.92,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:44.2,1.45,-1.38,102.49,40.46034987,-109.5652636,39.8,,0.59,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:44.3,1.81,-1.56,102.54,40.46034989,-109.5652636,39.84,,0.35,OFF,,,,0.1,v1:altimeter:LIGHTWARESF30D:0,109,0
1.76358E+12,11/19/2025,42:44.4,2.32,-1.75,102.57,40.46035,-109.5652637,39.82,,0.19,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:44.5,2.68,-1.8,102.61,40.46035018,-109.5652639,39.82,,0.17,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:44.6,2.7,-1.75,102.65,40.46035035,-109.5652641,39.78,,0.23,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:44.7,2.53,-1.63,102.66,40.46035063,-109.5652643,39.76,,0.27,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:44.7,1.97,-1.47,102.66,40.46035082,-109.5652646,39.71,,0.31,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,18,0
1.76358E+12,11/19/2025,42:44.9,1.16,-1.31,102.62,40.46035105,-109.5652649,39.68,,0.34,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:45.0,0.65,-1.25,102.6,40.46035133,-109.5652653,39.63,,0.34,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
